"Folge","Titel","Sender","Erstausstrahlung","Ermittler","Fall","Autor","Regie","Besonderheiten"
527,"Mutterliebe","WDR","23.3.2003","Ballauf und Schenk",23,"Züli Aladag, Feo Aladag","Züli Aladag",""
528,"Schöner sterben","SWR","30.3.2003","Odenthal und Kopper",28,"Daniel Martin Eckhart","Didi Danquart",""
529,"Hexentanz","NDR","13.4.2003","Lindholm",2,"Markus Stromiedel","René Heisig",""
530,"Der Prügelknabe","BR","21.4.2003","Batic und Leitmayr",34,"Christian Limmer","Thomas Jauch",""
531,"Schattenlos","WDR","27.4.2003","Ballauf und Schenk",24,"Thomas Stiller","Thomas Stiller",""
532,"Außer Kontrolle","MDR","11.5.2003","Ehrlicher und Kain",32,"Stefan Kolditz","Olaf Kreinsen",""
533,"Der schwarze Troll","Radio Bremen","25.5.2003","Lürsen und Stedefreund",9,"Thea Dorn","Vanessa Jopp",""
534,"Harte Hunde","NDR","01.6.2003","Casstorff und Holicek",5,"Thomas Bohn","Thomas Bohn",""
535,"Das Phantom","WDR","09.6.2003","Ballauf und Schenk",25,"Norbert Ehry","Kaspar Heidelbach",""
536,"Tödliche Souvenirs","ORF","22.6.2003","Eisner",9,"Felix Mitterer","Peter Sämann","Erstausstrahlung am 22. Dezember 2002 auf ORF 2. Erst nach der Erstausstrahlung zum Tatort umgewidmet."
537,"Rosenholz","RBB","06.7.2003","Ritter und Stark",14,"Pim Richter","Peter Ristau","Gastauftritt von Marianne Birthler"
538,"Bienzle und der Taximord","SWR","03.8.2003","Bienzle",18,"Felix Huby","Hans-Christoph Blumenberg",""
539,"Leyla","SWR","31.8.2003","Odenthal und Kopper",29,"Harald Göckeritz","Martin Weinhart","Marler Medienpreis Menschenrechte 2005"
540,"Bermuda","WDR","14.9.2003","Ballauf und Schenk",26,"Scarlett Kleint, Roswitha Seidel","Manfred Stelzer",""
541,"Mietsache","NDR","05.10.2003","Casstorff und Holicek",6,"Brigitte Drootloof, Thomas Bohn","Daniel Helfer",""
542,"Wenn Frauen Austern essen","BR","12.10.2003","Batic und Leitmayr",35,"Peter Probst","Klaus Emmerich",""
543,"Dreimal schwarzer Kater","WDR","19.10.2003","Thiel und Boerne",3,"Jan Hinter, Stefan Cantz","Buddy Giovinazzo",""
544,"Dschungelbrüder","SFB","26.10.2003","Ritter und Stark",15,"Lars Becker","Lars Becker",""
545,"Sonne und Sturm","NDR","02.11.2003","Lindholm",3,"Fred Breinersdorfer","Thomas Jauch",""
546,"Atlantis","MDR","09.11.2003","Ehrlicher und Kain",33,"Pim Richter,Daniela Mohr","Hajo Gies",""
547,"Die Liebe der Schlachter","Radio Bremen","16.11.2003","Lürsen und Stedefreund",10,"Jochen Greve","Thomas Jauch",""
548,"Im Visier","BR","23.11.2003","Batic und Leitmayr",36,"Peter Fratzscher, Sabine Bühring","Peter Fratzscher","Günter-Strack-Fernsehpreis 2004 an Vinzenz Kiefer"
549,"Väter","NDR","30.11.2003","Borowski",1,"Orkun Ertener","Thomas Freundner",""
550,"Der Schächter","SWR","07.12.2003","Blum",4,"Fred Breinersdorfer","Jobst Oetzmann",""
551,"Sag nichts","WDR","14.12.2003","Thiel und Boerne",4,"Hans Christian Laaber","Lars Kraume",""
552,"Das Böse","HR","21.12.2003","Dellwo und Sänger",3,"Niki Stein","Niki Stein","Deutscher Fernsehpreis 2004 (Bester Schauspieler Fernsehfilm) an Ulrich Tukur"
553,"Veras Waffen","SR","28.12.2003","Palu",16,"Hans-Christoph Blumenberg","Hans-Christoph Blumenberg",""
554,"Eine ehrliche Haut","SFB","04.1.2004","Ritter und Stark",16,"Ralph Bohn","Ralph Bohn","Gastauftritte von Sabine Christiansen, Laurenz Meyer und Rezzo Schlauch"
555,"Bitteres Brot","SWR","18.1.2004","Blum und Perlmann",5,"Dorothee Schön","Jürgen Bretzinger","Erste Folge mit Sebastian Bezzel als Kai Perlmann"
556,"Todes-Bande","NDR","25.1.2004","Casstorff und Holicek",7,"Thomas Bohn","Thomas Bohn",""
557,"Waidmanns Heil","MDR","01.2.2004","Ehrlicher und Kain",34,"Andreas Pflüger","Peter F. Bringmann",""
558,"Große Liebe","SWR","22.2.2004","Odenthal und Kopper",30,"Daniel Martin Eckhart","Manuel Siebenmann",""
559,"Heimspiel","NDR","29.2.2004","Lindholm",4,"Orkun Ertener","Thomas Jauch",""
560,"Tod unter der Orgel","ORF","14.3.2004","Eisner",10,"Alrun Fichtenbauer","Walter Bannert",""
561,"Schichtwechsel","NDR","28.3.2004","Borowski",2,"Jan von der Bank","Christine Hartmann",""
